,Date,Time,Status,Team 1,Team 2,Score,Result,Year
0,"Sunday, 07 October",20:00 (IST),Match 1 - Completed ,Tamil,Patna,42  - 26,Tamil Thalaivas beat Patna Pirates (42-26),2018
1,"Sunday, 07 October",21:00 (IST),Match 2 - Completed ,Puneri,U,32  - 32,Match Tied,2018
2,"Monday, 08 October",20:00 (IST),Match 3 - Completed ,Puneri,Haryana,34  - 22,Puneri Paltan beat Haryana Steelers (34-22),2018
3,"Monday, 08 October",21:00 (IST),Match 4 - Completed ,Tamil,U.P.,32  - 37,U.P. Yoddha beat Tamil Thalaivas (37-32),2018
4,"Tuesday, 09 October",20:00 (IST),Match 5 - Completed ,Dabang,Gujarat,32  - 32,Match Tied,2018
5,"Tuesday, 09 October",21:00 (IST),Match 6 - Completed ,Tamil,Telugu,28  - 33,Telugu Titans beat Tamil Thalaivas (33-28),2018
6,"Wednesday, 10 October",20:00 (IST),Match 7 - Completed ,U,Jaipur,39  - 32,U Mumba beat Jaipur Pink Panthers (39-32),2018
7,"Wednesday, 10 October",21:00 (IST),Match 8 - Completed ,Tamil,Bengaluru,37  - 48,Bengaluru Bulls beat Tamil Thalaivas (48-37),2018
8,"Thursday, 11 October",20:00 (IST),Match 9 - Completed ,U.P.,Patna,41  - 43,Patna Pirates beat U.P. Yoddha (43-41),2018
9,"Thursday, 11 October",21:00 (IST),Match 10 - Completed ,Tamil,Bengal,27  - 36,Bengal Warriors beat Tamil Thalaivas (36-27),2018
10,"Friday, 12 October",20:00 (IST),Match 11 - Completed ,Haryana,Gujarat,32  - 25,Haryana Steelers beat Gujarat Fortunegiants (32-25),2018
11,"Friday, 12 October",21:00 (IST),Match 12 - Completed ,Puneri,Dabang,36  - 41,Dabang Delhi K.C. beat Puneri Paltan (41-37),2018
12,"Saturday, 13 October",20:00 (IST),Match 13 - Completed ,Telugu,U.P.,34  - 29,Telugu Titans beat U.P. Yoddha (34-29),2018
13,"Saturday, 13 October",21:00 (IST),Match 14 - Completed ,Haryana,U,26  - 53,U Mumba beat Haryana Steelers (53-26),2018
14,"Sunday, 14 October",20:00 (IST),Match 15 - Completed ,Patna,U.P.,43  - 37,Patna Pirates beat U.P. Yoddha (43-37),2018
15,"Sunday, 14 October",21:00 (IST),Match 16 - Completed ,Haryana,Puneri,27  - 45,Puneri Paltan beat Haryana Steelers (45-27),2018
16,"Tuesday, 16 October",20:00 (IST),Match 17 - Completed ,Bengal,Telugu,30  - 25,Bengal Warriors beat Telugu Titans (30-25),2018
17,"Tuesday, 16 October",21:00 (IST),Match 18 - Completed ,Haryana,Jaipur,33  - 36,Jaipur Pink Panthers beat Haryana Steelers (36-33),2018
18,"Wednesday, 17 October",20:00 (IST),Match 19 - Completed ,Bengaluru,Tamil,44  - 35,Bengaluru Bulls beat Tamil Thalaivas (44-35),2018
19,"Wednesday, 17 October",21:00 (IST),Match 20 - Completed ,Haryana,U,32  - 42,U Mumba beat Haryana Steelers (42-32),2018
20,"Thursday, 18 October",20:00 (IST),Match 21 - Completed ,Haryana,Dabang,34  - 31,Haryana Steelers beat Dabang Delhi K.C. (34-31),2018
21,"Thursday, 18 October",21:00 (IST),Match 22 - Completed ,Puneri,Gujarat,28  - 34,Gujarat Fortunegiants beat Puneri Paltan (34-28),2018
22,"Friday, 19 October",20:00 (IST),Match 23 - Completed ,Patna,Telugu,31  - 35,Telugu Titans beat Patna Pirates (35-31),2018
23,"Friday, 19 October",21:00 (IST),Match 24 - Completed ,Puneri,Jaipur,29  - 25,Puneri Paltan beat Jaipur Pink Panthers (29-25),2018
24,"Saturday, 20 October",20:00 (IST),Match 25 - Completed ,U.P.,Bengal,40  - 40,Match Tied,2018
25,"Saturday, 20 October",21:00 (IST),Match 26 - Completed ,Puneri,U,33  - 32,Puneri Paltan beat U Mumba (33-32),2018
26,"Sunday, 21 October",20:00 (IST),Match 27 - Completed ,Dabang,Bengal,39  - 30,Dabang Delhi K.C. beat Bengal Warriors (39-30),2018
27,"Sunday, 21 October",21:00 (IST),Match 28 - Completed ,Puneri,Bengaluru,27  - 25,Puneri Paltan beat Bengaluru Bulls (27-25),2018
28,"Tuesday, 23 October",20:00 (IST),Match 29 - Completed ,U,Telugu,41  - 20,U Mumba beat Telugu Titans (41-20),2018
29,"Tuesday, 23 October",21:00 (IST),Match 30 - Completed ,Puneri,Tamil,31  - 36,Tamil Thalaivas beat Puneri Paltan (36-31),2018
30,"Wednesday, 24 October",20:00 (IST),Match 31 - Completed ,Bengaluru,Haryana,42  - 34,Bengaluru Bulls beat Haryana Steelers (42-34),2018
31,"Wednesday, 24 October",21:00 (IST),Match 32 - Completed ,Puneri,U.P.,23  - 29,U.P. Yoddha beat Puneri Paltan (29-23),2018
32,"Friday, 26 October",20:00 (IST),Match 33 - Completed ,Patna,Jaipur,41  - 30,Patna Pirates beat Jaipur Pink Panthers (41-30),2018
33,"Friday, 26 October",21:00 (IST),Match 34 - Completed ,Gujarat,Tamil,36  - 25,Gujarat Fortunegiants beat Tamil Thalaivas (36-25),2018
34,"Saturday, 27 October",20:00 (IST),Match 35 - Completed ,Jaipur,Bengal,28  - 39,Bengal Warriors beat Jaipur Pink Panthers (39-28),2018
