,Rank_x,Team,No of Matches Played_x,All Outs Conceded,Rank_y,No of Matches Played_y,All Out Inflicted,Rank_x,No of Matches Played_x,Avg Raid Points,Rank_y,No of Matches Played_y,Avg Tackle Points,Rank_x,No of Matches Played_x,Avg Points Scored,Rank_y,No of Matches Played_y,Do or Die Raid Points,Rank_x,No of Matches Played_x,Raid Points,Rank_y,No of Matches Played_y,Successful Raids,Rank_x,No of Matches Played_x,Successful Tackles,Rank_y,No of Matches Played_y,Super Raids,Rank_x,No of Matches Played_x,Super Tackles,Rank_y,No of Matches Played_y,Tackle Points,Rank_x,No of Matches Played_x,Total Points Scored,Rank_y,No of Matches Played_y,Total Points Conceded,Year
0,1.,"
                    Puneri Paltan
                    
                ",14,26,7.,14,12,7.,14,19.21,7.,14,7.64,8.,14,26.85,2.,14,48,8.,14,269,8.,14,204,8.,14,93,3.,14,11,3.,14,14,7.,14,107,8.,14,405,1.,14,536,2013
1,2.,"
                    Bengal Warriors
                    
                ",14,25,8.,14,11,5.,14,20.21,6.,14,8.71,5.,14,28.92,8.,14,30,7.,14,283,7.,14,213,6.,14,106,3.,14,11,2.,14,16,6.,14,122,7.,14,430,2.,14,515,2013
2,3.,"
                    Dabang Delhi K.C.
                    
                ",14,23,5.,14,18,4.,14,20.36,4.,14,9.57,4.,14,29.92,6.,14,31,6.,14,285,5.,14,246,4.,14,124,8.,14,5,6.,14,10,5.,14,134,6.,14,456,7.,14,471,2013
3,4.,"
                    U Mumba
                    
                ",16,19,3.,16,21,2.,16,21.69,3.,16,9.81,2.,16,31.5,4.,16,40,1.,16,347,2.,16,270,3.,16,145,2.,16,12,4.,16,12,3.,16,157,2.,16,550,3.,16,499,2013
4,5.,"
                    Patna Pirates
                    
                ",16,17,5.,16,18,6.,16,19.75,5.,16,8.88,6.,16,28.62,3.,16,42,4.,16,316,4.,16,253,4.,16,124,1.,16,13,1.,16,18,4.,16,142,3.,16,504,4.,16,487,2013
5,6.,"
                    Jaipur Pink Panthers
                    
                ",16,15,1.,16,29,3.,16,21.5,1.,16,10.63,1.,16,32.12,1.,16,50,2.,16,344,2.,16,270,1.,16,158,5.,16,9,4.,16,12,1.,16,170,1.,16,579,8.,16,458,2013
6,6.,"
                    Bengaluru Bulls
                    
                ",16,15,4.,16,20,8.,16,18.19,2.,16,10.19,7.,16,28.37,4.,16,40,5.,16,291,6.,16,225,2.,16,153,7.,16,7,6.,16,10,2.,16,163,4.,16,498,5.,16,479,2013
7,8.,"
                    Telugu Titans
                    
                ",14,14,2.,14,25,1.,14,24,8.,14,7.43,3.,14,31.42,6.,14,31,3.,14,336,1.,14,272,7.,14,96,6.,14,8,8.,14,8,8.,14,104,5.,14,497,6.,14,474,2013
0,1.,"
                    Patna Pirates
                    
                ",16,21,5.,16,13,7.,16,14.25,3.,16,10.25,6.,16,24.5,5.,16,60,5.,16,228,5.,16,182,4.,16,152,8.,16,4,6.,16,13,3.,16,164,4.,16,444,2.,16,489,2014
1,1.,"
                    Puneri Paltan
                    
                ",14,21,7.,14,12,3.,14,15.93,8.,14,8.14,7.,14,24.07,7.,14,56,6.,14,223,6.,14,170,8.,14,104,5.,14,8,7.,14,11,8.,14,114,7.,14,391,3.,14,465,2014
