,avg_raid_point,avg_tackle_points,dod_raid_points,high_5s,matches_played,player_id,player_name,raid_points,successful_raids,successful_tackles,super_10s,super_raids,super_tackles,tackle_points,team_name,total_points
0,10.69,0.07,136,,104,197,Pardeep Narwal,1101,836,6,57,50,1,7,Patna Pirates,1108
1,7.86,0.49,164,,120,81,Rahul Chaudhari,943,776,54,40,24,5,59,Tamil Thalaivas,1002
2,6.96,0.71,166,4,123,41,Deepak Niwas Hooda,856,698,79,31,20,8,87,Jaipur Pink Panthers,943
3,6.87,0.18,163,,115,26,Ajay Thakur,790,640,21,29,23,,21,Tamil Thalaivas,811
4,9.25,0.11,102,,79,143,Maninder Singh,731,586,8,33,21,1,9,Bengal Warriors,740
5,7.55,0.44,106,1,89,326,Rohit Kumar,664,545,37,26,15,2,39,Bengaluru Bulls,703
6,5.09,0.39,127,,117,94,Rishank Devadiga,595,467,44,10,25,2,46,U.P. Yoddha,641
7,6.1,0.55,103,,92,58,Kashiling Adake,561,424,44,15,23,7,51,Bengaluru Bulls,612
8,8.03,0.45,71,,75,318,Pawan Kumar Sehrawat,578,445,31,26,19,3,34,Bengaluru Bulls,612
9,5.79,0.76,33,,91,29,Anup Kumar,527,421,61,13,17,8,69,Jaipur Pink Panthers,596
10,2.38,3.14,19,23,108,69,Manjeet Chhillar,224,179,324,2,5,15,339,Tamil Thalaivas,563
11,2.13,2.47,25,16,120,142,Sandeep Narwal,247,191,268,1,11,28,296,U Mumba,543
12,4.47,0.22,100,,103,12,Jang Kun Lee,460,366,20,9,14,3,23,Patna Pirates,483
13,6.57,0.32,73,,69,388,Monu Goyat,453,377,19,20,7,3,22,U.P. Yoddha,475
14,6.87,0.46,88,,63,757,Sachin Tanwar,433,356,26,16,4,3,29,Gujarat Fortunegiants,462
15,6.63,0.35,52,,66,320,Nitin Tomar,431,366,20,14,10,3,23,Puneri Paltan,454
16,10.19,0.17,59,,42,2296,Naveen Kumar,428,357,6,27,5,1,7,Dabang Delhi K.C.,435
17,5,0.42,61,,77,52,Jasvir Singh,380,295,25,7,7,7,32,Tamil Thalaivas,412
18,4.04,0.15,99,,97,111,Sukesh Hegde,392,294,13,1,15,2,15,Bengal Warriors,407
19,10.05,0.15,63,,39,2026,Siddharth Sirish Desai,392,312,6,19,16,,6,Telugu Titans,398
20,3.26,1.23,57,3,92,86,Rajesh Narwal,284,224,105,4,12,8,113,Dabang Delhi K.C.,397
21,7.57,0.18,77,,51,366,Vikash Kandola,386,302,9,15,12,,9,Haryana Steelers,395
22,3.61,0.57,95,,95,251,Meraj Sheykh,339,249,48,6,17,6,54,Dabang Delhi K.C.,393
23,4.07,0.1,68,,94,155,Prashanth Kumar Rai,370,286,6,11,8,3,9,Haryana Steelers,379
24,5.11,0.28,93,,72,106,Shrikant Jadhav,358,276,17,10,8,3,20,U.P. Yoddha,378
25,4.54,0.07,79,,81,219,K. Prapanjan,363,284,6,10,7,,6,Bengal Warriors,369
26,0.54,2.94,,23,109,157,Ravinder Pahal,14,8,301,,,19,320,Dabang Delhi K.C.,334
27,1.36,1.94,22,4,118,160,Ran Singh,99,72,217,,4,12,229,Tamil Thalaivas,328
28,5.18,0.16,38,,61,36,Chandran Ranjit,316,255,8,6,9,2,10,Dabang Delhi K.C.,326
29,3.89,0.16,71,,81,211,Deepak Narwal,311,244,12,9,4,1,13,Jaipur Pink Panthers,324
30,3.99,0.18,78,,79,293,Nilesh Salunke,303,229,12,5,9,2,14,Jaipur Pink Panthers,317
31,6.04,0.47,54,,47,124,Wazir Singh,278,221,18,9,7,4,22,Haryana Steelers,300
32,0.57,2.22,6,12,116,42,Dharmaraj Cheralathan,43,29,232,,,25,257,Haryana Steelers,300
33,0.14,3.01,,19,98,259,Fazel Atrachali,4,2,277,,,18,295,U Mumba,299
34,4.08,0.43,30,,68,261,Rohit Baliyan,269,223,27,3,6,2,29,U Mumba,298
35,0.28,2.54,,18,109,71,Mohit Chhillar,7,3,254,,,23,277,Tamil Thalaivas,284
36,3.79,0.03,60,,74,156,Pawan Kumar Kadian,277,206,2,5,4,,2,Puneri Paltan,279
